Player,Position,Age,Team,Games played,Games started,Mintues played,Field goals,Field goals attempted,Field goal attempts per game,3 pointers,3 pointers attempted,Free throws,Free throws attempted,Rebounds,Assists,Steals,Blocks,Turnovers,Personal fouls,Points,Points per game
Aaron Brooks,PG,31,CHI,69,0,1108,188,469,6.8,66,185,49,64,101,180,30,10,82,132,491,7.1
Aaron Gordon,PF,20,ORL,78,37,1863,274,579,7.4,42,142,129,193,507,128,59,55,66,153,719,9.2
Aaron Harrison,SG,21,CHO,21,0,93,5,19,0.9,3,10,5,12,15,2,6,0,4,10,18,0.9
Adreian Payne,PF,24,MIN,52,2,486,53,145,2.8,9,32,17,26,111,29,16,11,36,77,132,2.5
Al Horford,C,29,ATL,82,82,2631,529,1048,12.8,88,256,103,129,596,263,68,121,107,163,1249,15.2
Al Jefferson,C,31,CHO,47,18,1096,245,505,10.7,0,0,72,111,301,70,30,41,34,117,562,12
Alan Anderson,SG,33,WAS,13,0,192,21,59,4.5,12,37,11,15,27,14,4,1,2,25,65,5
Alan Williams,PF,23,PHO,10,0,68,10,24,2.4,0,0,9,14,38,5,4,5,6,15,29,2.9
Alec Burks,SG,24,UTA,31,3,797,137,334,10.8,32,79,106,141,109,63,18,4,51,71,412,13.3
Alex Len,C,22,PHO,78,46,1821,264,624,8,1,7,174,239,594,97,38,62,145,230,703,9
Alex Stepheson,PF,28,LAC,4,0,12,1,1,0.3,0,0,0,2,2,0,0,2,0,4,2,0.5
Alex Stepheson,PF,28,MEM,4,0,61,8,26,6.5,0,0,4,10,26,2,1,3,0,8,20,5
Alex Stepheson,PF,28,TOT,8,0,73,9,27,3.4,0,0,4,12,28,2,1,5,0,12,22,2.8
Alexis Ajinca,C,27,NOP,59,17,861,150,315,5.3,0,1,52,62,269,31,19,36,54,134,352,6
Al-Farouq Aminu,SF,25,POR,82,82,2341,299,719,8.8,126,349,115,156,499,138,72,53,120,171,839,10.2
Allen Crabbe,SG,23,POR,81,8,2105,311,678,8.4,112,285,98,113,216,99,63,16,64,192,832,10.3
Alonzo Gee,SF,28,NOP,73,38,1632,132,255,3.5,17,60,44,66,245,72,63,13,55,169,325,4.5
Amar'e Stoudemire,C,33,MIA,52,36,762,125,221,4.3,0,0,50,67,222,27,18,41,47,92,300,5.8
Amir Johnson,PF,28,BOS,79,76,1800,249,426,5.4,10,43,69,121,505,138,52,83,94,214,577,7.3
Anderson Varejao,C,33,CLE,31,0,310,32,76,2.5,0,1,16,21,91,20,11,5,16,35,80,2.6
Anderson Varejao,C,33,GSW,22,0,186,21,48,2.2,0,0,16,29,50,15,5,5,6,35,58,2.6
Anderson Varejao,C,33,TOT,53,0,496,53,124,2.3,0,1,32,50,141,35,16,10,22,70,138,2.6
Andre Drummond,C,22,DET,81,81,2666,552,1060,13.1,2,6,208,586,1198,67,119,112,155,245,1314,16.2
Andre Iguodala,SF,32,GSW,65,1,1732,176,368,5.7,54,154,51,83,263,219,73,19,79,102,457,7
Andre Miller,PG,39,MIN,26,0,280,36,58,2.2,1,4,15,19,24,58,9,0,25,32,88,3.4
Andre Miller,PG,39,SAS,13,4,181,23,48,3.7,1,4,9,13,27,29,7,0,12,14,56,4.3
Andre Miller,PG,39,TOT,39,4,461,59,106,2.7,2,8,24,32,51,87,16,0,37,46,144,3.7
Andre Roberson,SG,24,OKC,70,70,1553,136,274,3.9,32,103,33,54,251,47,53,42,35,133,337,4.8
Andrea Bargnani,C,30,BRK,46,0,634,127,279,6.1,3,16,47,57,97,18,4,9,26,61,304,6.6
Andrew Bogut,C,31,GSW,70,66,1451,175,279,4,1,1,24,50,492,162,33,114,83,221,375,5.4
Andrew Goudelock,PG,27,HOU,8,0,50,9,20,2.5,1,9,3,4,2,4,6,2,7,4,22,2.8
Andrew Nicholson,PF,26,ORL,56,0,823,146,310,5.5,41,114,51,65,201,25,10,22,41,69,384,6.9
Andrew Wiggins,SF,20,MIN,81,81,2845,594,1294,16,57,190,430,565,292,164,78,46,182,165,1675,20.7
Anthony Bennett,PF,22,TOR,19,0,84,8,27,1.4,3,14,9,10,23,0,5,0,4,8,28,1.5
Anthony Brown,SF,23,LAL,29,11,599,39,126,4.3,20,70,17,20,70,19,14,5,15,34,115,4
Anthony Davis,PF,22,NOP,61,61,2164,560,1136,18.6,35,108,326,430,627,116,78,125,121,148,1481,24.3
Anthony Morrow,SG,30,OKC,68,6,926,136,333,4.9,79,204,29,39,62,24,22,5,17,64,380,5.6
Anthony Tolliver,PF,30,DET,72,5,1341,128,332,4.6,98,272,29,47,229,52,26,16,28,86,383,5.3
