Year,Winner,Country,Age,Team,Time (hh:mm:ss),Time (hrs),Distance (km),Distance (miles),Avg. Speed (km/h),Avg. Speed (mph),Margin (hh:mm:ss),Margin (min),Stage Wins,Stages in Lead,Stages,Starting Riders,Finishing Riders
1903,Maurice Garin,France,32,La Française,94:33:00,94.55,2428,1509,25.679,15.956,2:59:21,179.35,3,6,6,60,21
1904,Henri Cornet,France,20,Conte,96:05:56,96.099,2428,1509,25.265,15.699,2:16:14,136.2333,1,3,6,88,27
1905,Louis Trousselier,France,24,Peugeot–Wolber,110:26:58,110.449,2994,1860,27.107,16.844,,,5,10,11,60,24
1906,René Pottier,France,27,Peugeot–Wolber,189:34:00,189.567,4637,2881,24.463,15.201,,,5,12,13,82,14
1907,Lucien Petit-Breton,France,24,Peugeot–Wolber,158:45:05,158.751,4488,2789,28.47,17.69,,,2,5,14,93,33
1908,Lucien Petit-Breton,France,25,Peugeot–Wolber,156:53:29,156.891,4488,2789,28.74,17.858,,,5,13,14,112,36
1909,François Faber,Luxembourg,22,Alcyon–Dunlop,157:01:22,157.023,4497,2794,28.658,17.807,,,6,13,14,150,55
1910,Octave Lapize,France,21,Alcyon–Dunlop,162:41:30,162.692,4734,2942,29.099,18.081,,,4,3,15,110,41
1911,Gustave Garrigou,France,27,Alcyon–Dunlop,195:37:00,195.617,5343,3320,27.322,16.977,,,2,13,15,84,28
1912,Odile Defraye,Belgium,24,Alcyon–Dunlop,190:30:28,190.508,5289,3286,27.763,17.251,,,3,13,15,131,41
1913,Philippe Thys,Belgium,23,Peugeot–Wolber,197:54:00,197.9,5287,3285,26.715,16.6,0:08:37,8.6167,1,8,15,140,25
1914,Philippe Thys,Belgium,24,Peugeot–Wolber,200:28:48,200.48,5380,3343,26.835,16.674,0:01:50,1.8333,1,15,15,145,54
1919,Firmin Lambot,Belgium,33,La Sportive,231:07:15,231.121,5560,3455,24.056,14.948,1:42:54,102.9,1,2,15,69,11
1920,Philippe Thys,Belgium,30,La Sportive,228:36:13,228.604,5503,3419,24.072,14.958,0:57:21,57.35,4,14,15,113,22
1921,Léon Scieur,Belgium,33,La Sportive,221:50:26,221.841,5485,3408,24.724,15.363,0:18:36,18.6,2,14,15,123,38
1922,Firmin Lambot,Belgium,36,Peugeot–Wolber,222:08:06,222.135,5375,3340,24.196,15.035,0:41:15,41.25,0,3,15,121,38
1923,Henri Pélissier,France,33,Automoto–Hutchinson,222:15:30,222.258,5386,3347,24.233,15.058,0:30:41,30.6833,3,6,15,139,48
1924,Ottavio Bottecchia,Italy,30,Automoto,226:18:21,226.306,5425,3371,24.25,15.068,0:35:36,35.6,4,15,15,157,60
1925,Ottavio Bottecchia,Italy,31,Automoto–Hutchinson,219:10:18,219.172,5440,3380,24.82,15.422,0:54:20,54.3333,4,13,18,130,49
1926,Lucien Buysse,Belgium,34,Automoto–Hutchinson,238:44:25,238.74,5745,3570,24.273,15.083,1:22:25,82.4167,2,8,17,126,41
1927,Nicolas Frantz,Luxembourg,28,Alcyon–Dunlop,198:16:42,198.278,5398,3354,27.224,16.916,1:48:41,108.6833,3,14,24,142,39
